
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-06-21 16:02:30 / ............................................... ~ 19s
  2026-06-21 16:02:51 .............................................. ~ 1.67ms
  2026-06-21 16:02:51 .............................................. ~ 0.28ms
  2026-06-21 16:02:51 .............................................. ~ 2.08ms
  2026-06-21 16:02:52 / ................................................ ~ 4s

   INFO  Environment modified. Restarting server...  

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-06-21 16:06:04 / ................................................ ~ 1s
  2026-06-21 16:06:06 /dashboard ................................... ~ 0.68ms
  2026-06-21 16:06:06 /login ........................................... ~ 1s
  2026-06-21 16:06:07 /build/assets/app-hqUdNozU.css ............... ~ 0.95ms
  2026-06-21 16:06:07 /build/assets/app-DO2nEFzp.js ................ ~ 4.04ms
  2026-06-21 16:06:07 /logo.png .................................... ~ 7.28ms
  2026-06-21 16:06:07 /favicon.ico ................................. ~ 0.70ms
  2026-06-21 16:06:32 /login .......................................... ~ 10s
  2026-06-21 16:06:41 /dashboard ...................................... ~ 29s
  2026-06-21 16:07:11 /build/assets/app-hqUdNozU.css ............... ~ 0.82ms
  2026-06-21 16:07:11 /build/assets/app-DO2nEFzp.js ................ ~ 4.14ms
  2026-06-21 16:07:11 /logo.png .................................... ~ 9.72ms
  2026-06-21 16:07:12 /favicon.ico ................................. ~ 0.38ms
  2026-06-21 16:07:48 /projects ........................................ ~ 1s
  2026-06-21 16:07:50 /build/assets/app-hqUdNozU.css ............... ~ 1.39ms
  2026-06-21 16:07:50 /build/assets/app-DO2nEFzp.js ................ ~ 7.07ms
  2026-06-21 16:07:50 /logo.png .................................... ~ 6.63ms
  2026-06-21 16:07:50 /favicon.ico ................................. ~ 1.14ms
  2026-06-21 16:07:54 /projects/StashDock/git .................... ~ 572.99ms
  2026-06-21 16:08:03 /projects/StashDock/git .......................... ~ 1s
  2026-06-21 16:09:26 /projects/StashDock/git .......................... ~ 1s
  2026-06-21 16:09:33 /projects/StashDock/git .......................... ~ 1s
  2026-06-21 16:09:48 /projects/StashDock/git .................... ~ 501.35ms
  2026-06-21 16:09:55 /projects/StashDock/git .......................... ~ 1s
  2026-06-21 16:13:29 /projects/arxive/git ............................. ~ 1s
  2026-06-21 16:13:43 /projects/arxive/git ............................. ~ 6s
  2026-06-21 16:13:51 /projects ........................................ ~ 2s
  2026-06-21 16:13:53 /build/assets/app-hqUdNozU.css ............... ~ 0.83ms
  2026-06-21 16:13:53 /build/assets/app-DO2nEFzp.js ................ ~ 0.42ms
  2026-06-21 16:13:53 /logo.png .................................... ~ 2.02ms
  2026-06-21 16:13:53 /favicon.ico ................................. ~ 0.30ms
  2026-06-21 16:14:02 /dashboard ....................................... ~ 1s
  2026-06-21 16:14:04 /build/assets/app-hqUdNozU.css ............... ~ 2.54ms
  2026-06-21 16:14:04 /build/assets/app-DO2nEFzp.js ................ ~ 9.13ms
  2026-06-21 16:14:04 /logo.png .................................... ~ 6.25ms
  2026-06-21 16:14:04 /favicon.ico ................................. ~ 1.81ms
  2026-06-21 16:14:07 /dashboard/sync-logs ............................ ~ 23s
  2026-06-21 16:14:31 /dashboard ....................................... ~ 1s
  2026-06-21 16:14:33 /build/assets/app-hqUdNozU.css ............... ~ 1.02ms
  2026-06-21 16:14:33 /build/assets/app-DO2nEFzp.js ................ ~ 4.80ms
  2026-06-21 16:14:33 /logo.png .................................... ~ 5.12ms
  2026-06-21 16:14:33 /favicon.ico ................................. ~ 0.92ms
  2026-06-21 16:15:02 /projects ........................................ ~ 1s
  2026-06-21 16:15:04 /build/assets/app-hqUdNozU.css ............... ~ 5.46ms
  2026-06-21 16:15:04 /build/assets/app-DO2nEFzp.js ............... ~ 11.83ms
  2026-06-21 16:15:04 /logo.png ................................... ~ 16.04ms
  2026-06-21 16:15:05 /favicon.ico ................................. ~ 0.46ms
  2026-06-21 16:15:07 /dashboard ....................................... ~ 1s
  2026-06-21 16:15:08 /build/assets/app-hqUdNozU.css ............... ~ 1.33ms
  2026-06-21 16:15:08 /build/assets/app-DO2nEFzp.js ................ ~ 5.78ms
  2026-06-21 16:15:08 /logo.png ................................... ~ 10.90ms
  2026-06-21 16:15:09 /favicon.ico ................................. ~ 1.03ms
  2026-06-21 16:15:11 /projects ........................................ ~ 1s
  2026-06-21 16:15:13 /build/assets/app-hqUdNozU.css ............... ~ 1.26ms
  2026-06-21 16:15:13 /build/assets/app-DO2nEFzp.js ................ ~ 6.23ms
  2026-06-21 16:15:13 /logo.png .................................... ~ 8.87ms
  2026-06-21 16:15:13 /favicon.ico ................................. ~ 1.38ms
  2026-06-21 16:15:18 /projects/StashDock/git .......................... ~ 1s
  2026-06-21 16:15:34 /projects/StashDock/git .......................... ~ 1s
  2026-06-21 16:15:37 /projects/StashDock/git .................... ~ 745.51ms
  2026-06-21 16:15:38 /projects ........................................ ~ 1s
  2026-06-21 16:15:40 /build/assets/app-hqUdNozU.css ............... ~ 0.48ms
  2026-06-21 16:15:40 /build/assets/app-DO2nEFzp.js ................ ~ 2.82ms
  2026-06-21 16:15:40 /logo.png .................................... ~ 4.42ms
  2026-06-21 16:15:40 /favicon.ico ................................. ~ 0.60ms
  2026-06-21 16:15:42 /projects/StashDock/git .................... ~ 501.61ms
